"","state","postal_code","latitude","longitude","stars","review_count","categories","OpenSundays","Open7days","checkedin100","BusinessAcceptsCreditCards","RestaurantsTakeOut","RestaurantsPriceRange2","RestaurantsReservations","RestaurantsDelivery","GoodForKids","OutdoorSeating","RestaurantsAttire","garage","street","validated","lot","valet","WiFi","NoiseLevel","Caters","dessert","latenight","lunch","dinner","brunch","breakfast"
"1","WI",53718,43.1477343983,-89.2879148133,2.5,3,"Sandwiches, Fast Food","1","1",0,"True","True","1","False","False","True","False","casual",NA,NA,NA,NA,NA,"no","average","False",NA,NA,NA,NA,NA,NA
"2","WI",53716,43.07051,-89.3254733,4.5,47,"Sandwiches, Fast Food","1","0",0,"True","True","2","True","False","True","False","casual","False","False","False","True","False","no","quiet","False","False","False","False","False","False","False"
"3","NC",28210,35.090561,-80.867977,3.5,43,"Sandwiches, Fast Food","1","1",1,"True","True","1","False","True","True","False","casual","False","False","False","False","False","no","quiet","False","False","False","True","False","False","True"
"4","IL",61821,40.131811,-88.258669,2.5,12,"Sandwiches, Fast Food","1","1",0,"True","True","1","False","True","True","False","casual","False","False","False","False","False","no","very_loud","True","False","False","False","False","False","False"
"5","WI",53705,43.072599,-89.428861,4,185,"Nightlife, Bars","1","1",1,"True","True","2","True","False","False","False","casual","False","True","False","False","False","no","average","True","False","False","False","True","False","False"
"6","NC",28208,35.240404,-80.901674,4.5,3,"Fast Food, American (Traditional)","0","0",0,"True","True","1","False","False","True","True","casual",NA,NA,NA,NA,NA,"no","average","False",NA,NA,NA,NA,NA,NA
"7","NC",28104,35.0006165575,-80.6940740981,4.5,71,"Fast Food, American (Traditional)","1","1",1,"True","True","1","False","False","True","True","casual","False","False","False","True","False","free","average","True","True","False","True","True","False","False"
"8","WI",53508,42.9291245,-89.5259126,5,10,"American (Traditional), Nightlife","1","1",0,"True","True","1","False","False","True","False","casual",NA,NA,NA,NA,NA,"free","loud","True","False","False","False","False","False","False"
"9","WI",53704,43.1016722349,-89.3645954132,4.5,332,"Fast Food, American (Traditional)","1","1",1,"True","True","1","False","True","True","True","casual","False","True","False","True","False","free","average","True","False","False","True","False","False","False"
"10","WI",53716,43.0544295,-89.3260679,3.5,16,"Fast Food, American (Traditional)","1","1",0,"True","False","2","True","False","False","True","casual","False","False","False","False","False","no","quiet","False","False","False","False","False","False","False"
"11","NC",28079,35.0492092,-80.6455685,3.5,95,"Nightlife, Bars","1","1",0,"True","True","2","True","False","True","True","casual","False","False","False","True","False","free","loud","True","False","False","True","False","False","False"
"12","NC",28209,35.1744564,-80.8401575,4,81,"Fast Food, American (Traditional)","1","0",1,"True","True","3","False","True","True","False","casual","False","False","False","True","False","no","quiet","True",NA,NA,NA,NA,NA,NA
"13","IL",61820,40.1100643,-88.229494,3,46,"Fast Food, American (Traditional)","1","1",0,"True","True","2","True","True","True","False","casual",NA,NA,NA,NA,NA,"no","average","True",NA,NA,NA,NA,NA,NA
"14","NC",28164,35.3536635,-81.0889935,3,9,"Fast Food, American (Traditional)","1","1",0,"True","True","1","False","False","True","True","casual","False","False","False","False","False","free","average","True",NA,NA,NA,NA,NA,NA
"15","IL",61820,40.117237,-88.2431919,4,116,"Nightlife, Bars","1","0",1,"True","True","3","True","False","False","True","casual","True","True","False","False","False","free","average","True","False","False","False","False","False","False"
"16","NC",28226,35.088386,-80.862882,3.5,106,"Fast Food, American (Traditional)","1","1",1,"True","True","2","True","False","True","False","casual","False","False","False","True","False","no","average","False","False","False","False","True","False","False"
"17","NC",28031,35.483607,-80.877465,4,8,"Fast Food, American (Traditional)","1","1",0,"True","True","1","False","False","True","False","casual","False","False","False","False","False","no","average","False","False","False","False","False","False","False"
"18","NC",28027,35.4046466,-80.6870528,4,9,"Sandwiches, Fast Food","1","1",0,"True","True","2","False","True","True","False","casual","False","False","False","False","False","no","average","False",NA,NA,NA,NA,NA,NA
"19","NC",28262,35.3099289,-80.754271,3.5,74,"Fast Food, American (Traditional)","1","1",1,"True","True","1","False","False","True","True","casual","False","False","False","True","False","no","average","True","False","False","True","True","False","False"
"20","WI",53715,43.0600205,-89.4005033,4,71,"Fast Food, American (Traditional)","1","1",0,"False","True","1","False","False","True","False","casual","False","True","False","False","False","no","average","False","False","False","False","False","True","True"
"21","NC",28202,35.2285596703,-80.8452783837,4,131,"American (Traditional), Nightlife","1","1",1,"True","False","4","True","False","False","False","dressy","False","False","False","False","True","no","average","True","False","False","False","True","False","False"
"22","WI",53703,43.0792898936,-89.3905858144,2.5,72,"American (Traditional), Nightlife","1","1",0,"True","True","2","True","False","True","True","casual","True","False","False","False","False","free","average","True","False","False","False","False","False","False"
"23","WI",53711,43.0003778,-89.4258729,3,56,"Fast Food, American (Traditional)","1","1",1,"True","True","2","False","True","True","True","casual","False","False","False","True","False","free","average","True","False","False","True","True","False","False"
"24","WI",53717,43.0732552,-89.5266501,3,136,"Fast Food, American (Traditional)","1","1",1,"True","False","2","False","False","True","False","casual","False","False","False","True","False","free","average","False","False","False","True","True","False","False"
"25","NC",28027,35.4140461,-80.6664857,2.5,14,"Fast Food, American (Traditional)","1","1",0,"True","True","1","False","False","True","False","casual","False","False","False","False","False","no","quiet","False",NA,NA,NA,NA,NA,NA
"26","WI",53562,43.0960955,-89.5131921,2,24,"American (Traditional), Nightlife","1","1",0,"True","False","1","False","False","False","True","casual","False","True","False","False","False","free","quiet","False","False","False","False","False","False","False"
"27","WI",53703,43.0885766,-89.3649736,2.5,87,"Nightlife, Bars","0","0",0,"True","True","2","True","False","True","True","casual","False","False","False","True","False","free","average","True","False","False","True","True","False","False"
"28","IL",61820,40.1392818536,-88.2446583173,4,15,"Fast Food, American (Traditional)","0","0",0,"True","True","1","False","False","True","True","casual","False","False","False","True","False","free","average","False",NA,NA,NA,NA,NA,NA
"29","IL",61820,40.1032417,-88.2441637,3.5,402,"Sandwiches, Fast Food","1","1",1,"True","True","2","True","True","True","True","casual","False","False","False","True","False","free","average","True","False","False","True","True","False","False"
"30","NC",28217,35.1684737768,-80.875257492,4.5,486,"Fast Food, American (Traditional)","1","1",1,"True","True","2","True","True","True","True","casual","False","False","False","True","False","free","average","True","False","False","True","True","False","False"
"31","NC",28105,35.1275266,-80.707971,3,98,"Nightlife, Bars","1","1",1,"True","True","2","False","True","True","False","casual","False","False","False","True","False","no","average","True","False","False","False","True","False","False"
